Plateau,start_index,end_index,avg_voltage,start_time,end_time,duration_s
1,5266,5818,0.9773848183073313,5.266e-05,5.818e-05,5.520000000000001e-06
2,11926,12472,0.9776627348503524,0.00011926,0.00012472,5.460000000000005e-06
3,53595,54115,0.9784870760268648,0.00053595,0.00054115,5.200000000000018e-06
4,55282,55793,0.9807286845459657,0.00055282,0.00055793,5.11000000000001e-06
5,73622,74153,0.977681526955597,0.00073622,0.00074153,5.310000000000015e-06
6,78610,79135,0.97889023047107,0.0007861,0.00079135,5.250000000000046e-06
8,123621,124148,0.9785523043077168,0.00123621,0.00124148,5.270000000000144e-06
9,175290,175829,0.9765490645361651,0.0017529,0.00175829,5.390000000000082e-06
10,208632,209196,0.9761608005369461,0.00208632,0.00209196,5.6399999999998986e-06
11,235298,235807,0.9794387442525476,0.00235298,0.00235807,5.0899999999996955e-06
15,358647,359214,0.9786996688721636,0.00358647,0.00359214,5.670000000000154e-06
16,368633,369197,0.9758253220592387,0.0036863300000000002,0.00369197,5.6399999999998986e-06
18,373644,374176,0.9772743637866635,0.00373644,0.0037417600000000002,5.320000000000064e-06
19,413654,414214,0.9753854555698732,0.00413654,0.00414214,5.5999999999997024e-06
21,500330,500891,0.9770483719532997,0.0050033000000000005,0.00500891,5.609999999999643e-06
22,512004,512550,0.9773007896907586,0.00512004,0.0051255,5.4599999999996665e-06
23,535342,535898,0.9777880920641897,0.00535342,0.00535898,5.55999999999994e-06
24,573672,574265,0.9754259858853873,0.00573672,0.00574265,5.930000000000345e-06
25,592007,592572,0.9762479859273041,0.00592007,0.00592572,5.6499999999994055e-06
26,618685,619245,0.9773131686573228,0.00618685,0.00619245,5.60000000000057e-06
27,628690,629222,0.9781920333079711,0.0062869,0.00629222,5.320000000000498e-06
28,633696,634226,0.977936804583761,0.00633696,0.00634226,5.299999999999749e-06
31,760372,760920,0.9784447780593157,0.0076037200000000004,0.0076092,5.479999999999548e-06
32,763701,764298,0.975823396981155,0.0076370100000000005,0.00764298,5.96999999999924e-06
35,863717,864256,0.9764943695021362,0.00863717,0.00864256,5.39000000000095e-06
36,867064,867616,0.975857665744622,0.00867064,0.00867616,5.5200000000001775e-06
38,873728,874275,0.9783695576167376,0.00873728,0.00874275,5.4700000000004745e-06
39,903731,904273,0.9769570308466893,0.00903731,0.00904273,5.420000000000771e-06
40,972076,972578,0.9800642633382008,0.00972076,0.00972578,5.0199999999996775e-06
42,978739,979284,0.9776357394750161,0.00978739,0.00979284,5.450000000000593e-06
45,1020416,1020940,0.9784206135435739,0.01020416,0.0102094,5.240000000000106e-06
46,1048746,1049315,0.9759103758507734,0.01048746,0.01049315,5.689999999999168e-06
47,1062092,1062597,0.9804157941455386,0.01062092,0.01062597,5.049999999999499e-06
49,1130423,1130954,0.9768438835587191,0.01130423,0.01130954,5.30999999999969e-06
52,1162100,1162646,0.977775471867275,0.011621,0.01162646,5.460000000000534e-06
53,1168762,1169310,0.9776738648072143,0.011687620000000001,0.0116931,5.47999999999868e-06
55,1188764,1189296,0.978452658759278,0.01188764,0.011892960000000001,5.320000000001365e-06
56,1195437,1196014,0.9765805600909516,0.01195437,0.011960140000000001,5.7700000000004276e-06
57,1215423,1215984,0.9754220871669091,0.01215423,0.01215984,5.609999999999643e-06
58,1227098,1227659,0.9766129249614892,0.01227098,0.01227659,5.609999999999643e-06
61,1263760,1264324,0.9763319864724886,0.0126376,0.01264324,5.639999999999465e-06
62,1267108,1267647,0.9781123808384614,0.01267108,0.01267647,5.39000000000095e-06
64,1273779,1274378,0.9762264840442609,0.01273779,0.01274378,5.989999999999121e-06
65,1280438,1280956,0.9806966456315015,0.01280438,0.012809560000000001,5.180000000000462e-06
66,1303774,1304326,0.9784301137393778,0.01303774,0.013043260000000001,5.5200000000001775e-06
67,1305439,1305972,0.9782040569820522,0.01305439,0.01305972,5.329999999999571e-06
68,1307102,1307667,0.9778289448983256,0.013071020000000001,0.01307667,5.6499999999994055e-06
69,1310442,1310978,0.9790884398946753,0.01310442,0.01310978,5.359999999999393e-06
70,1312104,1312614,0.9799220594481808,0.01312104,0.01312614,5.099999999999202e-06
71,1348764,1349320,0.9761250660684933,0.01348764,0.0134932,5.55999999999994e-06
72,1363774,1364327,0.9770194023378136,0.01363774,0.01364327,5.530000000000118e-06
73,1368770,1369319,0.9785256261355244,0.0136877,0.013693190000000001,5.490000000000356e-06
74,1377104,1377645,0.9781585237435735,0.01377104,0.01377645,5.410000000000831e-06
75,1380436,1380997,0.9773250020714394,0.01380436,0.01380997,5.609999999999643e-06
76,1385443,1385969,0.9786461184680041,0.013854430000000001,0.013859690000000001,5.259999999999987e-06
77,1403757,1404310,0.9748687268556717,0.014037570000000001,0.014043100000000001,5.530000000000118e-06
78,1413748,1414307,0.9720711769484166,0.014137480000000001,0.01414307,5.589999999999762e-06
79,1415439,1415996,0.9777997408442343,0.014154390000000001,0.014159960000000001,5.569999999999881e-06
82,1425437,1425997,0.977911384543404,0.01425437,0.01425997,5.5999999999997024e-06
83,1433772,1434282,0.9793891648412454,0.01433772,0.014342820000000001,5.100000000000937e-06
84,1440438,1440975,0.9779458424030132,0.01440438,0.01440975,5.370000000001068e-06
85,1448771,1449296,0.9786323070372969,0.01448771,0.014492960000000001,5.250000000000046e-06
86,1457101,1457623,0.9787301866054521,0.01457101,0.01457623,5.2200000000002245e-06
87,1462108,1462623,0.9805342400439314,0.01462108,0.01462623,5.15000000000064e-06
88,1465435,1466030,0.9755793420344766,0.01465435,0.014660300000000001,5.950000000001093e-06
91,1487106,1487635,0.9790424232261326,0.01487106,0.01487635,5.289999999999809e-06
92,1498771,1499304,0.9786240451492645,0.01498771,0.014993040000000001,5.330000000001306e-06
93,1505437,1505977,0.9779996100349211,0.015054370000000001,0.01505977,5.3999999999991555e-06
94,1582101,1582683,0.9750132653422935,0.01582101,0.01582683,5.820000000000131e-06
95,1607097,1607637,0.9782239851049472,0.01607097,0.01607637,5.3999999999991555e-06
96,1612099,1612633,0.9774085691625201,0.01612099,0.01612633,5.339999999999512e-06
98,1622098,1622632,0.976686641898128,0.01622098,0.01622632,5.339999999999512e-06
100,1635422,1635985,0.9756929216467187,0.01635422,0.01635985,5.629999999999524e-06
101,1650432,1650973,0.9773489103774536,0.01650432,0.01650973,5.410000000000831e-06
102,1677097,1677645,0.9776892357769648,0.01677097,0.016776450000000002,5.48000000000215e-06
103,1698753,1699282,0.9783534903384586,0.01698753,0.01699282,5.289999999998074e-06
104,1715405,1716003,0.9692703916112859,0.01715405,0.01716003,5.97999999999918e-06
106,1783753,1784306,0.9760580134884007,0.01783753,0.01784306,5.530000000000118e-06
107,1793746,1794278,0.9782212623305475,0.01793746,0.017942780000000002,5.3200000000031e-06
108,1813744,1814305,0.9745205848403623,0.01813744,0.01814305,5.609999999999643e-06
112,1978735,1979276,0.9783645200438289,0.01978735,0.01979276,5.410000000000831e-06
113,2023743,2024263,0.9785269456852993,0.02023743,0.02024263,5.200000000000343e-06
114,2025403,2025954,0.9773681964946698,0.02025403,0.02025954,5.510000000000237e-06
115,2038733,2039269,0.977461993790993,0.020387330000000002,0.02039269,5.359999999999393e-06
116,2087066,2087589,0.9790158055239279,0.02087066,0.02087589,5.2300000000019e-06
117,2097063,2097580,0.9786239066934321,0.02097063,0.0209758,5.169999999998787e-06
118,2108725,2109260,0.9775352437195104,0.021087250000000002,0.0210926,5.349999999997718e-06
119,2163736,2164248,0.9783529567400168,0.02163736,0.021642480000000002,5.120000000000818e-06
120,2180380,2180968,0.9715353384570903,0.0218038,0.02180968,5.879999999999774e-06
121,2202069,2202606,0.9772182882962087,0.02202069,0.02202606,5.370000000001068e-06
122,2203733,2204270,0.9780134096169121,0.02203733,0.022042700000000002,5.370000000001068e-06
123,2235383,2235943,0.9737418082465107,0.02235383,0.02235943,5.599999999997968e-06
124,2250381,2250952,0.9721793797888005,0.02250381,0.02250952,5.710000000002519e-06
125,2262066,2262607,0.9767153519888776,0.02262066,0.02262607,5.410000000000831e-06
126,2302068,2302617,0.9764454663498328,0.02302068,0.023026170000000002,5.490000000000356e-06
127,2337068,2337610,0.9782857705052586,0.02337068,0.0233761,5.419999999999037e-06
131,2407056,2407605,0.9756464489456266,0.02407056,0.02407605,5.490000000000356e-06
133,2447064,2447633,0.974085984871878,0.024470640000000002,0.02447633,5.689999999999168e-06
134,2458734,2459287,0.9772098053701471,0.02458734,0.02459287,5.530000000000118e-06
135,2482078,2482579,0.9802045538915745,0.02482078,0.02482579,5.009999999999737e-06
136,2505407,2506016,0.9739589970140932,0.02505407,0.02506016,6.090000000000262e-06
137,2532069,2532626,0.9777671681192543,0.02532069,0.02532626,5.569999999999881e-06
138,2577074,2577613,0.9770803877238736,0.02577074,0.02577613,5.39000000000095e-06
139,2632063,2632607,0.9748805213627756,0.02632063,0.02632607,5.439999999998918e-06
141,2683741,2684284,0.9774740585016843,0.02683741,0.02684284,5.430000000000712e-06
142,2707082,2707630,0.9765068534884657,0.02707082,0.0270763,5.48000000000215e-06
144,2827075,2827607,0.975460946510981,0.02827075,0.02827607,5.319999999999631e-06
145,2828754,2829292,0.9783183026403113,0.02828754,0.02829292,5.379999999999274e-06
147,2845418,2845963,0.9766138980652107,0.02845418,0.02845963,5.450000000000593e-06
148,2903736,2904263,0.9749427599041761,0.02903736,0.02904263,5.269999999998193e-06
149,2972096,2972608,0.9789445108963725,0.02972096,0.029726080000000002,5.120000000000818e-06
151,3045417,3045984,0.9751334654597293,0.03045417,0.030459840000000002,5.670000000002756e-06
152,3087098,3087628,0.9792888487104708,0.03087098,0.03087628,5.299999999999749e-06
153,3122100,3122657,0.9767254225756993,0.031221000000000002,0.031226570000000002,5.569999999999881e-06
154,3135431,3135972,0.9762644356688419,0.03135431,0.03135972,5.409999999997361e-06
155,3178770,3179286,0.9786820069421083,0.0317877,0.03179286,5.159999999997111e-06
157,3222100,3222630,0.9786537791590914,0.032221,0.0322263,5.299999999999749e-06
158,3223760,3224357,0.9747346423657449,0.0322376,0.03224357,5.9700000000009745e-06
160,3297106,3297632,0.9789897744025614,0.03297106,0.03297632,5.259999999999987e-06
161,3308774,3309334,0.9770140607142821,0.03308774,0.03309334,5.600000000001437e-06
163,3440438,3441004,0.9760251828496849,0.03440438,0.03441004,5.66000000000455e-06
164,3443765,3444328,0.9733288992032845,0.03443765,0.03444328,5.629999999999524e-06
165,3463784,3464287,0.979601897483383,0.03463784,0.03464287,5.029999999996149e-06
167,3473770,3474321,0.9769607276374819,0.0347377,0.034743210000000004,5.510000000000237e-06
168,3482111,3482662,0.9758759079527606,0.03482111,0.03482662,5.510000000000237e-06
169,3485453,3485975,0.9781803517120696,0.03485453,0.03485975,5.2200000000002245e-06
